Explanatory Season,Prediction Season,Number of Players (Sample Size),R^2 using Model,R^2 using just TS%,Training Error (RMSE) using Model,Training Error (RMSE) using just TS%,Testing Error (RMSE) using Model for Seasons 2013 & 2014,Testing Error (RMSE) using Model for Seasons 2014 & 2015,Testing Error (RMSE) using Model for Seasons 2015 & 2016,Testing Error (RMSE) using Model for Seasons 2016 & 2017,Testing Error (RMSE) using Model for Seasons 2017 & 2018,Testing Error (RMSE) using Model for Seasons 2018 & 2019,Testing Error (RMSE) using Model for Seasons 2019 & 2020,Testing Error (RMSE) using just TS% for Seasons 2013 & 2014,Testing Error (RMSE) using just TS% for Seasons 2014 & 2015,Testing Error (RMSE) using just TS% for Seasons 2015 & 2016,Testing Error (RMSE) using just TS% for Seasons 2016 & 2017,Testing Error (RMSE) using just TS% for Seasons 2017 & 2018,Testing Error (RMSE) using just TS% for Seasons 2018 & 2019,Testing Error (RMSE) using just TS% for Seasons 2019 & 2020,Average Testing Error (RMSE) using Model,Average Testing Error (RMSE) using just TS%
2013,2014,146,0.444,0.444,0.0299,0.0299,0.0299,0.0314,0.0279,0.0306,0.0298,0.0307,0.0329,0.0299,0.0314,0.0279,0.0306,0.0298,0.0307,0.0329,0.030457142857142856,0.030457142857142856
2014,2015,149,0.404,0.404,0.0302,0.0302,0.0308,0.0302,0.0285,0.0336,0.0325,0.0326,0.0366,0.0308,0.0302,0.0285,0.0336,0.0325,0.0326,0.0366,0.03211428571428571,0.03211428571428571
2015,2016,148,0.445,0.445,0.0272,0.0272,0.0304,0.0314,0.0272,0.0308,0.0295,0.031,0.0335,0.0304,0.0314,0.0272,0.0308,0.0295,0.031,0.0335,0.030542857142857142,0.030542857142857142
2016,2017,153,0.477,0.477,0.0292,0.0292,0.0312,0.0347,0.0289,0.0292,0.029,0.0317,0.0318,0.0312,0.0347,0.0289,0.0292,0.029,0.0317,0.0318,0.030928571428571427,0.030928571428571427
2017,2018,148,0.454,0.454,0.0283,0.0283,0.0317,0.0342,0.0282,0.0296,0.0283,0.0312,0.0316,0.0317,0.0342,0.0282,0.0296,0.0283,0.0312,0.0316,0.030685714285714285,0.030685714285714285
2018,2019,151,0.485,0.485,0.0306,0.0306,0.03,0.0318,0.0275,0.03,0.0291,0.0306,0.0324,0.03,0.0318,0.0275,0.03,0.0291,0.0306,0.0324,0.030199999999999998,0.030199999999999998
2019,2020,120,0.399,0.399,0.0315,0.0315,0.032,0.0351,0.0288,0.0295,0.0285,0.0315,0.0315,0.032,0.0351,0.0288,0.0295,0.0285,0.0315,0.0315,0.030985714285714283,0.030985714285714283
,,,,,,,,,,,,,,,,,,,,,0.03084489795918367,0.03084489795918367
